PDV,Fecha Inicio,Hora Inicio,Fecha Final,Hora Final
PROVENZA,2025-06-11,07:30,2025-06-11,12:00
GAIRA,2025-06-11,13:30,2025-06-11,17:30
LA200,2025-06-12,07:30,2025-06-12,17:30
FLORIDA,2025-06-13,07:30,2025-06-13,17:30
BUCARICA,2025-06-16,07:30,2025-06-16,12:00
CUMBRE,2025-06-16,13:30,2025-06-16,17:30
FLORESTA,2025-06-17,07:30,2025-06-17,12:00
PUERTA DEL SOL,2025-06-17,13:30,2025-06-18,17:30
CIUDADELA/WEB,2025-06-19,07:30,2025-06-23,12:00
NOVENA,2025-06-23,13:30,2025-06-23,17:30
COLTABACO,2025-06-24,07:30,2025-06-24,17:30
ROSITA,2025-06-25,07:30,2025-06-25,17:30
CABECERA,2025-06-26,07:30,2025-06-27,12:00
GUARIN,2025-06-27,13:30,2025-06-27,17:30
CARACOLI,2025-06-30,07:30,2025-06-30,17:30
K27,2025-07-01,07:30,2025-07-01,12:00
SAN FRANCISCO,2025-07-01,13:30,2025-07-02,17:30
SOLERI,2025-07-03,07:30,2025-07-03,17:30
POBLADO,2025-07-04,07:30,2025-07-04,12:00
GIRON,2025-07-04,13:30,2025-07-04,17:30
RUITOQUE,2025-07-07,07:30,2025-07-07,12:00
PIEDECUESTA,2025-07-07,13:30,2025-07-08,12:00
COLOMBIA,2025-07-09,07:30,2025-07-09,12:00
COMERCIO,2025-07-10,07:30,2025-07-09,17:30
